"row ID","Date","Match Time(s)","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row77","25/5/2018",2177,"Mirage",16,10,19,5,14,4,49,"Win"
"Row78","25/5/2018",2972,"Mirage",15,15,36,5,17,4,89,"Tie"
"Row79","25/5/2018",880,"Mirage",7,3,7,1,5,2,15,"Win"
"Row80","25/5/2018",1527,"Mirage",14,1,10,1,10,1,22,"Win"
"Row81","25/5/2018",2916,"Mirage",14,16,22,6,21,2,56,"Lost"
"Row82","25/5/2018",2723,"Mirage",16,11,17,6,20,3,46,"Win"
"Row83","24/5/2018",2369,"Mirage",16,10,16,3,19,3,46,"Lost"
"Row84","24/5/2018",2455,"Mirage",16,12,14,8,20,2,42,"Lost"
"Row85","22/5/2018",1682,"Dust II",16,6,11,5,15,2,29,"Win"
"Row86","20/5/2018",1888,"Dust II",16,4,19,4,10,2,42,"Win"
"Row87","20/5/2018",1860,"Mirage",5,16,18,6,13,4,47,"Win"
"Row88","19/5/2018",3327,"Cache",14,16,36,5,21,7,89,"Lost"
"Row89","18/5/2018",2752,"Dust II",15,15,25,3,15,3,64,"Tie"
"Row90","18/5/2018",1621,"Dust II",16,4,22,9,9,7,53,"Win"
"Row91","11/5/2018",3106,"Dust II",15,15,20,5,23,3,53,"Tie"
"Row92","10/5/2018",1659,"Dust II",2,16,15,4,11,0,37,"Win"
"Row93","7/5/2018",2472,"Cache",10,16,15,8,22,2,42,"Lost"
"Row94","6/5/2018",1735,"Cache",6,16,13,5,15,1,31,"Lost"
"Row95","6/5/2018",2288,"Overpass",16,9,7,4,15,0,19,"Lost"
"Row96","6/5/2018",2478,"Dust II",16,12,22,6,20,1,54,"Lost"
"Row97","5/5/2018",2186,"Mirage",5,16,14,7,14,2,37,"Win"
"Row98","27/4/2018",668,"Dust II",8,1,0,1,3,0,1,"Lost"
"Row99","27/4/2018",2294,"Dust II",16,10,1,0,4,0,2,"Lost"
"Row100","27/4/2018",1227,"Mirage",12,1,18,2,3,2,39,"Win"
"Row101","25/4/2018",1627,"Mirage",11,6,10,3,11,1,30,"Lost"
"Row102","22/4/2018",2436,"Mirage",16,12,8,9,21,0,32,"Lost"
"Row103","2/3/2018",2764,"Mirage",16,12,15,4,18,3,45,"Lost"
"Row104","2/3/2018",1778,"Mirage",5,16,9,3,14,0,23,"Lost"
"Row105","1/3/2018",2363,"Mirage",16,9,11,4,21,1,37,"Lost"
"Row106","1/3/2018",2174,"Mirage",16,7,9,2,21,2,24,"Lost"
"Row107","1/3/2018",2582,"Mirage",11,16,19,6,22,2,46,"Lost"
"Row108","1/3/2018",2497,"Dust II",10,16,23,5,19,2,67,"Lost"
"Row109","28/2/2018",3155,"Dust II",14,16,14,5,19,2,37,"Lost"
"Row110","27/2/2018",2266,"Mirage",16,7,10,9,15,1,31,"Win"
"Row111","27/2/2018",2559,"Mirage",9,16,10,3,21,0,28,"Lost"
"Row112","27/2/2018",1931,"Mirage",5,16,12,0,16,0,25,"Lost"
"Row113","26/2/2018",3041,"Mirage",16,14,20,7,22,3,62,"Lost"
"Row114","26/2/2018",1732,"Mirage",4,16,18,3,12,3,53,"Win"
"Row115","24/2/2018",2366,"Mirage",16,10,24,4,13,4,60,"Win"
"Row116","24/2/2018",1852,"Mirage",16,5,10,8,14,1,28,"Win"
"Row117","24/2/2018",2143,"Mirage",16,7,16,7,18,2,45,"Lost"
"Row118","24/2/2018",2954,"Mirage",12,16,23,8,23,2,65,"Win"
"Row119","24/2/2018",3006,"Dust II",15,15,21,4,23,2,55,"Tie"
"Row120","24/2/2018",2955,"Mirage",15,15,17,5,21,1,47,"Tie"
"Row121","23/2/2018",3429,"Mirage",16,14,34,4,22,6,88,"Win"
"Row122","23/2/2018",2405,"Mirage",16,10,16,7,20,1,41,"Lost"
"Row123","23/2/2018",1942,"Cobblestone",16,3,20,2,8,3,46,"Win"
"Row124","22/2/2018",1708,"Cache",16,3,9,2,17,1,24,"Lost"
"Row125","22/2/2018",2481,"Mirage",12,16,18,13,19,4,51,"Win"
"Row126","22/2/2018",981,"Dust II",1,10,11,2,4,4,26,"Win"
"Row127","20/2/2018",2712,"Dust II",16,9,9,6,17,2,26,"Lost"
"Row128","20/2/2018",2604,"Dust II",11,16,23,2,17,3,52,"Win"
"Row129","19/2/2018",2709,"Mirage",16,11,28,4,19,6,68,"Lost"
"Row130","19/2/2018",2726,"Cobblestone",16,7,3,2,7,0,8,"Lost"
"Row131","18/2/2018",2078,"Dust II",7,16,19,2,19,1,42,"Lost"
"Row132","18/2/2018",2458,"Overpass",16,8,7,0,15,0,17,"Lost"
"Row133","18/2/2018",3345,"Mirage",14,16,18,5,25,2,49,"Lost"
"Row134","18/2/2018",2784,"Mirage",13,16,9,7,23,1,30,"Win"
"Row135","17/2/2018",2429,"Mirage",11,16,11,12,18,1,40,"Win"
"Row136","12/2/2018",2520,"Dust II",12,16,19,4,19,1,51,"Lost"
"Row137","11/2/2018",2537,"Cache",11,16,25,6,18,2,62,"Lost"
"Row138","8/2/2018",2217,"Dust II",16,7,15,7,13,2,37,"Win"
"Row139","8/2/2018",2489,"Cache",11,16,14,6,16,1,39,"Win"
"Row140","7/2/2018",2772,"Dust II",16,14,27,7,20,4,65,"Lost"
"Row141","6/2/2018",2070,"Dust II",7,16,10,3,21,1,23,"Lost"
"Row142","26/1/2018",2229,"Mirage",10,16,16,6,21,2,40,"Lost"
"Row143","26/1/2018",1596,"Dust II",16,5,13,4,15,2,31,"Win"
"Row144","26/1/2018",3096,"Dust II",12,16,12,4,24,2,30,"Lost"
"Row145","25/1/2018",2820,"Cache",16,11,16,7,23,1,42,"Lost"
"Row146","25/1/2018",1996,"Mirage",16,6,16,3,19,2,41,"Lost"
"Row147","25/1/2018",2707,"Dust II",15,15,28,5,20,4,64,"Tie"
"Row148","24/1/2018",1765,"Dust II",16,2,7,5,13,2,19,"Win"
"Row149","24/1/2018",1927,"Mirage",5,16,5,3,14,0,13,"Lost"
"Row150","24/1/2018",2634,"Dust II",14,16,19,7,23,4,48,"Lost"
"Row151","23/1/2018",1906,"Mirage",16,3,5,1,16,1,17,"Lost"
"Row152","23/1/2018",2064,"Dust II",7,16,16,4,15,2,36,"Win"
"Row153","23/1/2018",2144,"Mirage",6,16,11,4,19,1,31,"Lost"
"Row154","22/1/2018",2534,"Dust II",8,16,15,3,19,3,45,"Lost"
"Row155","21/1/2018",2357,"Mirage",16,10,23,2,17,4,53,"Lost"
"Row156","21/1/2018",2869,"Mirage",12,16,26,8,19,6,63,"Win"
"Row157","21/1/2018",1541,"Dust II",16,4,10,0,17,0,22,"Lost"
"Row158","20/1/2018",2671,"Dust II",13,16,22,4,22,3,55,"Lost"
"Row159","19/1/2018",2025,"Mirage",16,6,17,6,12,3,54,"Win"
"Row160","19/1/2018",2574,"Inferno",16,9,22,4,17,3,52,"Lost"
"Row161","19/1/2018",2700,"Mirage",13,16,10,3,22,0,31,"Lost"
"Row162","18/1/2018",2889,"Inferno",16,12,14,7,20,3,40,"Lost"
"Row163","18/1/2018",2827,"Mirage",12,16,14,4,18,0,39,"Lost"
"Row164","18/1/2018",3037,"Mirage",14,16,19,7,21,3,51,"Win"
"Row165","17/1/2018",2952,"Mirage",13,16,14,6,24,4,37,"Lost"
"Row166","17/1/2018",2615,"Dust II",13,16,17,2,22,1,41,"Win"
"Row167","23/12/2017",2899,"Mirage",14,16,17,5,20,3,43,"Win"
"Row168","23/12/2017",2187,"Mirage",9,16,25,10,13,5,69,"Win"
"Row169","23/12/2017",2456,"Mirage",7,16,20,3,11,3,61,"Win"
"Row170","23/12/2017",2745,"Inferno",16,11,14,2,21,4,39,"Lost"
"Row171","23/12/2017",2053,"Mirage",16,6,22,3,13,5,54,"Win"
"Row172","23/12/2017",2451,"Dust II",16,12,9,6,21,1,26,"Win"
"Row173","22/12/2017",2747,"Mirage",15,15,25,3,20,4,58,"Tie"
"Row174","22/12/2017",2003,"Mirage",16,3,12,5,9,2,29,"Win"
"Row175","22/12/2017",1956,"Dust II",7,12,6,2,13,1,17,"Lost"
"Row176","22/12/2017",2509,"Dust II",11,16,12,7,19,0,37,"Win"
"Row177","22/12/2017",2734,"Dust II",15,15,15,1,23,4,33,"Tie"
"Row178","21/12/2017",3174,"Mirage",15,15,17,12,26,1,50,"Tie"
"Row179","21/12/2017",2373,"Dust II",16,11,15,3,21,1,37,"Lost"
"Row180","21/12/2017",2707,"Mirage",16,13,26,3,14,2,68,"Win"
"Row181","21/12/2017",2694,"Mirage",16,13,19,4,24,4,55,"Lost"
"Row182","20/12/2017",2497,"Dust II",15,15,14,2,22,2,35,"Tie"
"Row183","20/12/2017",2063,"Dust II",16,7,25,4,12,3,57,"Win"
"Row184","20/12/2017",2801,"Mirage",15,15,12,2,22,1,29,"Tie"
"Row185","20/12/2017",1803,"Cache",4,16,6,1,19,0,15,"Lost"
"Row186","20/12/2017",2842,"Mirage",15,15,25,3,21,5,65,"Tie"
"Row187","20/12/2017",2328,"Dust II",16,12,11,5,20,1,38,"Win"
"Row188","20/12/2017",1229,"Dust II",10,2,5,1,7,1,13,"Win"
