"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row103","Mirage",16,12,15,4,18,3,45,"Lost"
"Row104","Mirage",5,16,9,3,14,0,23,"Lost"
"Row105","Mirage",16,9,11,4,21,1,37,"Lost"
"Row106","Mirage",16,7,9,2,21,2,24,"Lost"
"Row107","Mirage",11,16,19,6,22,2,46,"Lost"
"Row108","Dust II",10,16,23,5,19,2,67,"Lost"
"Row109","Dust II",14,16,14,5,19,2,37,"Lost"
"Row110","Mirage",16,7,10,9,15,1,31,"Win"
"Row111","Mirage",9,16,10,3,21,0,28,"Lost"
"Row112","Mirage",5,16,12,0,16,0,25,"Lost"
"Row113","Mirage",16,14,20,7,22,3,62,"Lost"
"Row114","Mirage",4,16,18,3,12,3,53,"Win"
"Row115","Mirage",16,10,24,4,13,4,60,"Win"
"Row116","Mirage",16,5,10,8,14,1,28,"Win"
"Row117","Mirage",16,7,16,7,18,2,45,"Lost"
"Row118","Mirage",12,16,23,8,23,2,65,"Win"
"Row119","Dust II",15,15,21,4,23,2,55,"Tie"
"Row120","Mirage",15,15,17,5,21,1,47,"Tie"
"Row121","Mirage",16,14,34,4,22,6,88,"Win"
"Row122","Mirage",16,10,16,7,20,1,41,"Lost"
"Row123","Cobblestone",16,3,20,2,8,3,46,"Win"
"Row124","Cache",16,3,9,2,17,1,24,"Lost"
"Row125","Mirage",12,16,18,13,19,4,51,"Win"
"Row126","Dust II",1,10,11,2,4,4,26,"Win"
"Row127","Dust II",16,9,9,6,17,2,26,"Lost"
"Row128","Dust II",11,16,23,2,17,3,52,"Win"
"Row129","Mirage",16,11,28,4,19,6,68,"Lost"
"Row130","Cobblestone",16,7,3,2,7,0,8,"Lost"
"Row131","Dust II",7,16,19,2,19,1,42,"Lost"
"Row132","Overpass",16,8,7,0,15,0,17,"Lost"
"Row133","Mirage",14,16,18,5,25,2,49,"Lost"
"Row134","Mirage",13,16,9,7,23,1,30,"Win"
"Row135","Mirage",11,16,11,12,18,1,40,"Win"
"Row136","Dust II",12,16,19,4,19,1,51,"Lost"
"Row137","Cache",11,16,25,6,18,2,62,"Lost"
"Row138","Dust II",16,7,15,7,13,2,37,"Win"
